Geracao,Melhor_Fitness,Media_Fitness,Melhor_Obs_Passados
1,6641,95.42,6
2,113354,1241.93,104
3,116623,1858.84,107
4,137340,6012.71,126
5,151510,9512.0,139
6,139520,14994.56,128
7,136250,35355.85,125
8,132966,46058.25,122
9,141700,74449.46,130
10,146060,95209.59,134
11,156960,105593.46,144
12,146060,116963.71,134
13,154780,117288.82,142
14,146060,119195.22,134
15,149330,122331.01,137
16,147150,124313.67,135
17,159140,122136.86,146
18,150420,122854.59,138
19,154780,122080.65,142
20,152600,123748.29,140
21,149330,121752.03,137
22,149330,121657.41,137
23,153690,119956.59,141
24,150420,121928.63,138
25,150420,120957.68,138
26,144970,121971.74,133
27,158050,123498.96,145
28,143880,118856.24,132
29,143880,119999.21,132
30,153690,123879.45,141
31,154780,121841.5,142
32,155870,121558.73,143
33,155870,121537.19,143
34,148240,122374.79,136
35,155870,124990.42,143
36,159140,123422.36,146
37,150420,125174.85,138
38,154780,123184.28,142
39,158050,124372.79,145
40,152600,123501.23,140
41,163500,125711.89,150
42,155870,129372.51,143
43,154780,124284.48,142
44,155870,122431.8,143
45,160230,124089.9,147
46,166770,125722.08,153
47,148240,122344.75,136
48,148240,125187.03,136
49,156960,125450.78,144
50,166770,121626.87,153
51,154780,127257.86,142
52,154780,126049.32,142
53,161320,127324.46,148
54,160230,121999.07,147
55,154780,127030.36,142
56,158050,127049.8,145
57,153690,128216.81,141
58,160230,125897.88,147
59,158050,128630.77,145
60,160230,126790.03,147
61,150420,128042.88,138
62,155870,124222.16,143
63,156960,124086.99,144
64,153690,129208.15,141
65,155870,128457.82,143
66,155870,126233.58,143
67,154780,125712.03,142
68,155870,124764.62,143
69,152600,125165.99,140
70,153690,122366.47,141
71,159140,124742.46,146
72,156960,126223.25,144
73,160230,123434.29,147
74,148240,124088.21,136
75,155870,127758.76,143
76,158050,125941.46,145
77,159140,119560.15,146
78,162410,126354.23,149
79,153690,126039.62,141
80,156960,127376.56,144
81,155870,123402.56,143
82,152600,125132.39,140
83,161320,126921.15,148
84,165680,122498.68,152
85,158050,127738.31,145
86,153690,126376.43,141
87,153690,127607.38,141
88,155870,129186.69,143
89,156960,128608.62,144
90,153690,125513.89,141
91,161320,123074.63,148
92,155870,127290.51,143
93,155870,127846.7,143
94,162410,125863.71,149
95,149330,125657.95,137
96,159140,128338.0,146
97,151510,122759.76,139
98,151510,126189.15,139
99,152600,126856.99,140
100,154780,128621.02,142
